date_admission,Year Month,Year,Organization,RegionName,ProjectName,UserName,token_number,surgeon_name,age,ownership,Province,District,Subdistrict,Village,area,type_surgery,define_surgery,rabies_vacc,sex,preg_status,foetus_number,bcs,skin_condition,health_status,health_problem,surg_complications,surgical_compl,mark_status,photo
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,12,dr_stop,adult,stray,Nakhon Nayok,Pak Phli,Ko Pho,4,Koh Pho Moo 4,spay,,vacc_on_day,female,no_preg,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662020557402.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,11,dr_stop,adult,stray,Nakhon Nayok,Pak Phli,Ko Pho,4,Koh Pho Moo 4,castration,,vacc_on_day,male,,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662020518405.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,5,dr_stop,adult,owned,Nakhon Nayok,Pak Phli,Ko Pho,5,Koh Pho Moo 5,castration,,vacc_on_day,male,,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662015359725.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,6,dr_stop,adult,owned,Nakhon Nayok,Pak Phli,Ko Pho,5,Koh Pho Moo 5,castration,,vacc_on_day,male,,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662015389537.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,7,dr_stop,adult,owned,Nakhon Nayok,Pak Phli,Ko Pho,5,Koh Pho Moo 5,castration,,vacc_on_day,male,,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662015418767.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,8,dr_stop,adult,owned,Nakhon Nayok,Pak Phli,Ko Pho,5,Koh Pho Moo 5,castration,,vacc_on_day,male,,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662020435353.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,9,dr_stop,adult,owned,Nakhon Nayok,Pak Phli,Ko Pho,5,Koh Pho Moo 5,castration,,vacc_on_day,male,,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662020467477.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,10,dr_stop,adult,stray,Nakhon Nayok,Pak Phli,Nong Seang,4,Nongsang Moo 4,castration,,vacc_on_day,male,,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662020498003.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,1,dr_stop,adult,owned,Nakhon Nayok,Pak Phli,Pak Phli,,DLD,spay,,vacc_on_day,female,no_preg,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662001960329.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,2,dr_stop,adult,owned,Nakhon Nayok,Pak Phli,Pak Phli,,DLD,spay,,vacc_on_day,female,no_preg,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662002012671.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,3,dr_stop,adult,owned,Nakhon Nayok,Pak Phli,Pak Phli,,DLD,spay,,vacc_on_day,female,no_preg,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662002052955.jpg
2022-01-09,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,4,dr_stop,adult,owned,Nakhon Nayok,Pak Phli,Pak Phli,,DLD,spay,,vacc_on_day,female,no_preg,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1662003062297.jpg
2022-01-11,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,22,dr_stop,adult,stray,Nakhon Nayok,Pak Phli,Ko Pho,2,Koh Poh Moo 2,spay,,vacc_on_day,female,no_preg,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1669803849274.jpg
2022-01-11,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,21,dr_ton,adult,stray,Nakhon Nayok,Pak Phli,Ko Pho,2,Koh Poh Moo 2,castration,,vacc_on_day,male,,,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1669803848264.jpg
2022-01-11,Jan-22,2022,Jai Dog Rescue,Nakhon Nayok,Jai Dog Rescue,Mike Dower,2,dr_stop,adult,owned,Nakhon Nayok,Pak Phli,Ko Pho,4,Koh Pho Moo 4,spay,,vacc_on_day,female,yes_preg,7,healthy_cond,no_skin_dz,healthy,,no_compl,,ear_tattoo,Jai_Dog_Rescue_1667291656249.jpg
